출발_동,도착_동,label,score
가양동,한남동,,0.747594131
가양동,합정동,,0.868568336
가양동,항동,,0.0987450716
가양동,행당동,,0.967961859
가양동,혜화동,,0.160775556
가양동,홍제동,,0.526870206
가양동,화곡동,1,1
가양동,화양동,,0.932362882
가양동,회현동,,1
가양동,효창동,,0.532463408
가양동,후암동,0,0.0974372328
가양동,휘경동,,0.721687753
가양동,흑석동,,0.988540965
가회동,가회동,1,1
가회동,삼청동,0,0.0952024225
가회동,종로동,,1
가회동,혜화동,,0.999447936
갈현동,가락동,,0.998522924
갈현동,가리봉동,0,0.102464242
갈현동,가산동,,0.999999749
갈현동,가양동,,0.999494531
갈현동,갈현동,1,1
갈현동,개봉동,,0.576636194
갈현동,개포동,,0.421756318
갈현동,거여동,,0.193108914
갈현동,공덕동,,1
갈현동,공릉동,,0.990502386
갈현동,공항동,,0.353344279
갈현동,광장동,,0.462975569
갈현동,광희동,,0.999995359
갈현동,교남동,0,0.0953589207
갈현동,구로동,1,1
갈현동,구산동,1,1
갈현동,구의동,,0.999944833
갈현동,금호동,,0.996739557
갈현동,길동,,0.243917285
갈현동,길음동,,0.551744273
갈현동,남가좌동,,0.997960939
갈현동,남영동,,0.973476121
갈현동,남현동,,0.999948553
갈현동,내곡동,,0.181034949
갈현동,노량진동,,0.986488794
갈현동,녹번동,1,1
갈현동,논현동,1,1
갈현동,능동,,0.978100666
갈현동,당산동,1,1
갈현동,대림동,,0.999754679
갈현동,대방동,,0.614014888
갈현동,대조동,1,1
갈현동,대치동,1,1
갈현동,대학동,,0.150443191
갈현동,대흥동,,1
갈현동,도곡동,,0.999960459
갈현동,도봉동,,0.474548645
갈현동,도화동,0,0.0952024225
갈현동,독산동,,0.842296262
갈현동,동화동,,0.752727701
갈현동,둔촌동,,0.677352489
갈현동,등촌동,,0.972934179
갈현동,마장동,,0.303120024
갈현동,마천동,,0.176183855
갈현동,망우동,,0.211804649
갈현동,면목동,1,0.634839181
갈현동,명동,1,1
갈현동,명일동,,0.452665755
갈현동,목동,,0.999967804
갈현동,무악동,0,0.0952135933
갈현동,묵동,,0.171572163
갈현동,문래동,,0.999999951
갈현동,문정동,,0.873636557
갈현동,미아동,,0.599367264
갈현동,반포동,1,1
갈현동,발산동,,0.374439995
갈현동,방배동,,0.990316225
갈현동,방이동,,0.352421405
갈현동,방학동,,0.225416322
갈현동,방화동,,1
갈현동,번동,,0.976133981
갈현동,보라매동,,0.207267907
갈현동,보문동,1,0.64461884
갈현동,북가좌동,,0.99984007
갈현동,북성동,,0.118381075
갈현동,불광동,1,1
갈현동,사근동,,0.937245745
갈현동,사당동,,0.99866186
갈현동,사직동,1,1
갈현동,삼선동,,0.999490202
갈현동,삼성동,,0.999950478
갈현동,삼양동,,0.221752683
갈현동,삼청동,0,0.0958073271
갈현동,상계동,,0.998719059
갈현동,상도동,,0.756161613
갈현동,상봉동,,0.479869886
갈현동,상암동,1,1
갈현동,상일동,,0.200094516
갈현동,서강동,1,1
갈현동,서교동,1,1
갈현동,서림동,,0.249478317
갈현동,서빙고동,,0.258031112
갈현동,서원동,,0.999819768
갈현동,서초동,1,1
갈현동,석관동,,0.802528283
갈현동,석촌동,,0.279626222
갈현동,성내동,,0.99943755
갈현동,성산동,1,1
갈현동,성수동,1,1
갈현동,세곡동,0,0.0955604708
갈현동,소공동,,0.999999969
갈현동,송천동,,0.910447803
갈현동,송파동,,0.275618848
갈현동,수궁동,,0.389384349
갈현동,수색동,,0.459126106
갈현동,수서동,,0.982840754
갈현동,수유동,,0.198303761
갈현동,숭인동,,0.999988605
갈현동,시흥동,,0.298539388
갈현동,신길동,,0.992926924
갈현동,신내동,,0.457175314
갈현동,신당동,,0.999992433
갈현동,신대방동,,0.360662654
갈현동,신도림동,,0.999999949
갈현동,신림동,0,0.097480527
갈현동,신사동,1,1
갈현동,신수동,0,0.0951800844
갈현동,신정동,,0.963496183
갈현동,신촌동,,0.999999998
갈현동,신포동,0,0.0953787972
갈현동,아현동,,0.999845249
갈현동,안암동,,0.854058471
갈현동,암사동,,0.284856735
갈현동,압구정동,,1
갈현동,약수동,,0.999994448
갈현동,양재동,,1
갈현동,양평동,,0.977714398
갈현동,여의도동,1,1
갈현동,역삼동,1,1
갈현동,역촌동,1,1
갈현동,연남동,,0.496499789
갈현동,연희동,,0.685654462
갈현동,염리동,0,0.105142228
갈현동,영등포동,,0.999881903
갈현동,영종동,,0.163279885
갈현동,오금동,,0.512580258
갈현동,오류동,,0.457955476
갈현동,오륜동,,0.524238984
갈현동,옥수동,,0.933458942
갈현동,왕십리동,,0.950296188
갈현동,용강동,,0.998069325
갈현동,용답동,,0.999536057
갈현동,용산동,,0.988804486
갈현동,용신동,,0.999999958
갈현동,우이동,,0.335102003
