     순위     출발_동     도착_동      score
      1      중계동       묵동   1.000000
      1      증산동      신사동   1.000000
      1      진관동      서초동   1.000000
      1      진관동      홍제동   1.000000
      1      진관동      회현동   1.000000
      1       창동      대치동   1.000000
      1       창동      사직동   1.000000
      1       창동      석관동   1.000000
      1       창동     여의도동   1.000000
      1       창동      잠실동   1.000000
      1      천연동      사직동   1.000000
      1      천연동      홍제동   1.000000
      1      청룡동      구의동   1.000000
      1      청룡동      도곡동   1.000000
      1      청룡동      신촌동   1.000000
      1      청룡동      종로동   1.000000
      1      청룡동     한강로동   1.000000
      1      청룡동      회현동   1.000000
      1      충현동      당산동   1.000000
      1      충현동     을지로동   1.000000
      1      충현동      잠실동   1.000000
      1      충현동      회현동   1.000000
      1      풍납동      구의동   1.000000
      1       필동       번동   1.000000
      1       필동       필동   1.000000
      1       필동     한강로동   1.000000
      1     한강로동      길음동   1.000000
      1     한강로동      대치동   1.000000
      1     한강로동      대흥동   1.000000
      1     한강로동      서강동   1.000000
      1     한강로동      송천동   1.000000
      1     한강로동      청룡동   1.000000
      1     한강로동      한남동   1.000000
      1     한강로동      화곡동   1.000000
      1     한강로동      흑석동   1.000000
      1      한남동      약수동   1.000000
      1      행당동      도곡동   1.000000
      1      행당동     압구정동   1.000000
      1      행당동     여의도동   1.000000
      1      행당동      역삼동   1.000000
      1      행당동   왕십리도선동   1.000000
      1      행당동      용신동   1.000000
      1      홍제동      녹번동   1.000000
      1      홍제동     압구정동   1.000000
      1      홍제동     을지로동   1.000000
      1      화곡동      대치동   1.000000
      1      화곡동       명동   1.000000
      1      화곡동      신촌동   1.000000
      1      화곡동     을지로동   1.000000
      1      화양동      사근동   1.000000
      1      화양동     을지로동   1.000000
      1      화양동      자양동   1.000000
      1      회현동      개봉동   1.000000
      1      회현동      공덕동   1.000000
      1      회현동      사직동   1.000000
      1      회현동      상도동   1.000000
      1      회현동      석관동   1.000000
      1      회현동      숭인동   1.000000
      1      회현동      신당동   1.000000
      1      회현동     압구정동   1.000000
      1      회현동      청룡동   1.000000
      1      회현동      화곡동   1.000000
      1      휘경동      용신동   1.000000
      1      흑석동     여의도동   1.000000
    455      가락동      위례동   1.000000
    455      거여동      잠실동   1.000000
    455      광희동      장충동   1.000000
    455     낙성대동      상도동   1.000000
    455      남영동     노량진동   1.000000
    455     노량진동     신대방동   1.000000
    455      대학동      서림동   1.000000
    455      돈암동      길음동   1.000000
    455     서빙고동      반포동   1.000000
    455      서초동      석촌동   1.000000
    455      신길동      역삼동   1.000000
    455      신사동      방배동   1.000000
    455      신촌동     북가좌동   1.000000
    455     영등포동      공덕동   1.000000
    455     영등포동      합정동   1.000000
    455      은천동      상도동   1.000000
    455      응암동      천연동   1.000000
    455      전농동      제기동   1.000000
    455      종암동      정릉동   1.000000
    455      중화동      성수동   1.000000
    455     청량리동      종로동   1.000000
    455      황학동      광희동   1.000000
    477      금호동      응봉동   1.000000
    477      반포동      소공동   1.000000
    477      사직동      교남동   1.000000
    477     서빙고동      이촌동   1.000000
    477      서초동      행운동   1.000000
    477      신사동      사직동   1.000000
    477      신월동      가산동   1.000000
    477      신정동      문래동   1.000000
    477      약수동      금호동   1.000000
    477      용신동      구의동   1.000000
    477      제기동      전농동   1.000000
    477      천호동      풍납동   1.000000
    489      가산동      미성동   1.000000
    489      공덕동      한남동   1.000000
    489      대림동      대방동   1.000000
    489      대흥동      사직동   1.000000
    489      대흥동      소공동   1.000000
    489      동선동      종로동   1.000000
    489      미아동      송중동   1.000000
    489      서교동      상도동   1.000000
    489      성북동      혜화동   1.000000
    489      신림동     보라매동   1.000000
