출발_동,도착_동,지하철_승객수,버스_승객수,택시_승객수,클러스터,label,score
공덕동,서림동,12989,0,22978.23866,21,,0.6601465040227317
공덕동,서빙고동,7674,6585,23084.82551,24,,0.5804305934027034
공덕동,서원동,51971,0,23381.30545,5,,0.9999186134520712
공덕동,서초동,97505,26089,24492.13313,67,,0.9999999998996836
공덕동,석관동,59171,500,23468.01813,8,,0.9999848517104722
공덕동,석촌동,10256,0,22949.97994,26,,0.5125802582504609
공덕동,성내동,90366,0,23778.30277,67,,0.9999999853187909
공덕동,성산동,252859,834,25478.91051,75,1.0,1.0
공덕동,성수동,86336,345,23745.09683,42,,0.9999999653031509
공덕동,소공동,30899,90491,25383.34671,12,,0.9999999260376135
공덕동,송중동,0,10579,23103.4584,38,,0.2930737222250094
공덕동,송천동,27747,0,23130.8337,10,,0.9816107023314857
공덕동,송파동,12896,0,22977.27706,21,,0.6554463664939425
공덕동,수궁동,8217,758,22947.49228,29,,0.4233170350777283
공덕동,수색동,13272,2077,23032.11772,19,,0.7304339769802068
공덕동,수서동,15908,0,23008.42059,18,,0.7890691382657312
공덕동,수유동,12536,0,22973.55472,22,1.0,0.636970491341552
공덕동,숭인동,44917,7614,23495.15475,1,,0.9998522452595718
공덕동,시흥동,13929,0,22987.95809,20,,0.7057843550926891
공덕동,신길동,103403,0,23913.10298,69,,0.9999999992137731
공덕동,신내동,39501,1855,23297.87471,2,,0.9989490347811043
공덕동,신당동,54624,9270,23636.14829,1,,0.9999865157935887
공덕동,신대방동,8050,0,22927.1703,30,,0.39055941525361565
공덕동,신도림동,40120,1152,23287.02909,2,,0.9989980555837237
공덕동,신림동,1399,0,22858.40017,50,,0.12584028599780206
공덕동,신사동,324617,7952,26395.4937,76,1.0,1.0
공덕동,신수동,0,12,22844.22914,65,0.0,0.09528064288933258
공덕동,신월동,0,404,22853.84567,59,,0.09975365271420539
공덕동,신정동,87680,0,23750.53002,48,1.0,0.999999973167029
공덕동,신촌동,23232,115919,25927.87009,57,0.0,0.999999984704883
공덕동,신포동,7,0,22844.00714,64,0.0,0.09528198097872999
공덕동,아현동,86195,184444,28259.94885,72,1.0,1.0
공덕동,안암동,53529,0,23397.41489,6,,0.9999426352197521
공덕동,암사동,13494,0,22983.46027,20,,0.6851044232280106
공덕동,압구정동,78286,8606,23864.51985,19,,0.9999999275583965
공덕동,약수동,79838,248,23675.52909,27,,0.9999998488664403
공덕동,양재동,51672,145,23381.77098,5,,0.9999145839045372
공덕동,양평동,63853,1046,23529.82361,10,,0.9999950672946165
공덕동,여의도동,420622,181843,31654.0556,77,1.0,1.0
공덕동,역삼동,99628,21619,24404.42669,68,,0.9999999998888005
공덕동,연남동,0,29446,23566.30296,25,,0.8272286497849158
공덕동,연희동,0,40761,23843.88212,22,1.0,0.9540607004705497
공덕동,염리동,0,82515,24868.18972,37,,0.9997857035948734
공덕동,염창동,0,4210,22947.21433,47,,0.15362935706327369
공덕동,영등포동,119626,2855,24150.88461,70,1.0,0.9999999999857805
공덕동,영종동,9246,0,22939.53672,28,,0.4560054645322841
